,Ville,Secteur,Type,Surface habitable m²,Surface totale m²,Âge du bien,Salons,Chambres,Salle de bain,Garage,Jardin,Piscine,Balcon,Prix / m²,Prix
0,Agadir,Abattoirs,Maisons et villas,52,52,21+ ans,2,5,3,Non,Non,Non,Non,11538.46,600000.0
1,Agadir,Abattoirs,Maisons et villas,61,61,21+ ans,1,5,2,Non,Non,Non,Non,11147.54,680000.0
2,Agadir,Abattoirs,Maisons et villas,53,64,Neuf,3,6,3,Non,Non,Non,Non,34375.0,2200000.0
3,Agadir,Abattoirs,Maisons et villas,198,66,11-20 ans,1,6,4,Non,Non,Non,Non,15151.52,1000000.0
4,Agadir,Abattoirs,Appartements,130,130,Neuf,2,3,2,Non,Non,Non,Oui,4000.0,520000.0
5,Agadir,Autre secteur,Maisons et villas,50,50,11-20 ans,2,3,2,Oui,Non,Non,Non,8600.0,430000.0
6,Agadir,Autre secteur,Maisons et villas,50,50,11-20 ans,1,2,1,Non,Non,Non,Non,4800.0,240000.0
7,Agadir,Autre secteur,Maisons et villas,50,50,6-10 ans,2,5,2,Oui,Non,Non,Non,14400.0,720000.0
8,Agadir,Autre secteur,Maisons et villas,50,50,11-20 ans,2,3,2,Non,Non,Non,Oui,7200.0,360000.0
9,Agadir,Autre secteur,Appartements,54,54,6-10 ans,1,2,1,Non,Non,Non,Oui,5370.37,290000.0
10,Agadir,Autre secteur,Appartements,45,54,6-10 ans,1,2,1,Non,Non,Non,Non,4629.63,250000.0
11,Agadir,Autre secteur,Appartements,58,58,Neuf,1,1,1,Non,Non,Non,Oui,6034.48,350000.0
12,Agadir,Autre secteur,Maisons et villas,60,60,Neuf,2,5,2,Non,Non,Non,Non,9666.67,580000.0
13,Agadir,Autre secteur,Appartements,60,60,6-10 ans,1,2,1,Non,Non,Non,Non,8833.33,530000.0
14,Agadir,Autre secteur,Maisons et villas,60,60,11-20 ans,2,6,4,Non,Non,Non,Non,15000.0,900000.0
